id,pr_nomLabel,nom_de_familleLabel,pays_de_nationalit_Label,date_de_naissance,date_de_mort,identifiant_Fichier_d_autorit__international_virtuel,_cole_des_chartesLabel,occupationLabel,dipl_me_universitaireLabel,distinction_re_ueLabel,domaine_d_activit_Label,th_se_de_doctorat,th_se_de_doctoratLabel
http://www.wikidata.org/entity/Q1245518,Hyacinthe,Meyer,France,1840-01-17T00:00:00Z,1917-09-07T00:00:00.000Z,44302645,Paul Meyer,romaniste,,docteur honoris causa de l'université de St Andrews,,http://www.wikidata.org/entity/Q43888134,Q43888134
http://www.wikidata.org/entity/Q1245518,Hyacinthe,Meyer,France,1840-01-17T00:00:00Z,1917-09-07T00:00:00.000Z,44302645,Paul Meyer,romaniste,,commandeur de la Légion d'honneur‎,,http://www.wikidata.org/entity/Q43888134,Q43888134
http://www.wikidata.org/entity/Q3351290,Olivier,,France,1969-05-02T00:00:00Z,,120204645,,,,,,,
http://www.wikidata.org/entity/Q2926731,Bruno,Delmas,France,1941-09-24T00:00:00Z,,100583175,Bruno Delmas,historien,,chevalier de la Légion d'honneur‎,,http://www.wikidata.org/entity/Q43460268,Le Chancelier Jacques Angeli et la médecine à Montpellier au milieu du XVe siècle
http://www.wikidata.org/entity/Q2926731,Bruno,Delmas,France,1941-09-24T00:00:00Z,,100583175,Bruno Delmas,historien,,chevalier de l'ordre national du Mérite,,http://www.wikidata.org/entity/Q43460268,Le Chancelier Jacques Angeli et la médecine à Montpellier au milieu du XVe siècle
http://www.wikidata.org/entity/Q2926731,Bruno,Delmas,France,1941-09-24T00:00:00Z,,100583175,Bruno Delmas,historien,,chevalier des Palmes académiques,,http://www.wikidata.org/entity/Q43460268,Le Chancelier Jacques Angeli et la médecine à Montpellier au milieu du XVe siècle
http://www.wikidata.org/entity/Q2926731,Bruno,Delmas,France,1941-09-24T00:00:00Z,,100583175,Bruno Delmas,historien,,officier des Palmes académiques,,http://www.wikidata.org/entity/Q43460268,Le Chancelier Jacques Angeli et la médecine à Montpellier au milieu du XVe siècle
http://www.wikidata.org/entity/Q2926731,Bruno,Delmas,France,1941-09-24T00:00:00Z,,100583175,Bruno Delmas,historien,,‎chevalier des Arts et des Lettres,,http://www.wikidata.org/entity/Q43460268,Le Chancelier Jacques Angeli et la médecine à Montpellier au milieu du XVe siècle
http://www.wikidata.org/entity/Q2926731,Bruno,Delmas,France,1941-09-24T00:00:00Z,,100583175,Bruno Delmas,archiviste,,chevalier de la Légion d'honneur‎,,http://www.wikidata.org/entity/Q43460268,Le Chancelier Jacques Angeli et la médecine à Montpellier au milieu du XVe siècle
http://www.wikidata.org/entity/Q2926731,Bruno,Delmas,France,1941-09-24T00:00:00Z,,100583175,Bruno Delmas,archiviste,,chevalier de l'ordre national du Mérite,,http://www.wikidata.org/entity/Q43460268,Le Chancelier Jacques Angeli et la médecine à Montpellier au milieu du XVe siècle
http://www.wikidata.org/entity/Q2926731,Bruno,Delmas,France,1941-09-24T00:00:00Z,,100583175,Bruno Delmas,archiviste,,chevalier des Palmes académiques,,http://www.wikidata.org/entity/Q43460268,Le Chancelier Jacques Angeli et la médecine à Montpellier au milieu du XVe siècle
http://www.wikidata.org/entity/Q2926731,Bruno,Delmas,France,1941-09-24T00:00:00Z,,100583175,Bruno Delmas,archiviste,,officier des Palmes académiques,,http://www.wikidata.org/entity/Q43460268,Le Chancelier Jacques Angeli et la médecine à Montpellier au milieu du XVe siècle
http://www.wikidata.org/entity/Q2926731,Bruno,Delmas,France,1941-09-24T00:00:00Z,,100583175,Bruno Delmas,archiviste,,‎chevalier des Arts et des Lettres,,http://www.wikidata.org/entity/Q43460268,Le Chancelier Jacques Angeli et la médecine à Montpellier au milieu du XVe siècle
http://www.wikidata.org/entity/Q2959858,Charles,,France,1852-03-04T00:00:00Z,1927-09-11T00:00:00.000Z,2597458,,,,,,,
